CALABARZON: Value of Production in Agriculture and Fisheries,,,,,,
,,,,,,
,,2020,2021,2022,2023,2024
Current Prices,CROPS,30674,32962,33877,35483,38367
,..Palay,5990,6526,6394,8118,6626
,..Corn,973,1052,1146,1225,1015
,..Coconut,9360,9730,10390,9279,11483
,..Sugarcane,1897,2459,3275,2891,1474
,..Pineapple,1921,1974,1882,2567,2926
,..Banana,1964,1858,1764,1678,2225
,..Mango,1386,1863,1379,1920,2134
,..Eggplant,824,916,1066,1025,1068
,..Ampalaya,884,766,876,924,900
,..Sweet potato,683,801,764,986,814
,..Squash,494,787,737,668,721
,..Calamansi,362,415,489,295,527
,..Tomato,557,414,542,523,1276
,..Cassava,497,463,422,613,845
,..Black Pepper,140,140,180,164,170
,..Chayote,129,163,108,138,283
,..Stringbeans,196,202,198,179,252
,..Coffee,63,62,80,112,121
,..Lanzones,126,121,125,149,172
,..Rambutan,77,88,99,66,76
,..Cabbage,14,21,21,30,53
,..Cacao,3,3,3,9,43
,..Other Crops,2135,2135,1936,1924,3163
,LIVESTOCK,52958,44699,48477,48335,53244
,..Hog,48307,38824,39743,40360,43507
,..Cattle,3211,4115,6040,5220,6529
,..Carabao,826,1074,1751,1726,2078
,..Goat,615,686,943,1029,1130
,POULTRY,48710,50913,59327,66432,73204
,..Chicken,26252,28631,33977,36475,45214
,..Duck,86,110,121,122,104
,..Chicken Eggs,21927,21735,24844,29496,27609
,..Duck Eggs,445,437,385,340,277
,FISHERIES *,27091,29489,21803,19778,17988
,..Tilapia,5816,5644,4078,3991,3176
,..Milkfish (Bangus),4106,4430,4077,3717,2828
,..Roundscad (Galunggong),5075,5280,1271,1493,1482
,..Mudcrab (Alimango),2022,3693,1760,227,196
,..Frigate tuna (Tulingan),1370,779,567,550,721
,..Threadfin bream (Bisugo),1240,1188,1058,682,431
,..Yellowfin tuna (Tambakol/Bariles),358,422,458,954,1354
,..Indian mackerel (Alumahan),414,423,431,549,221
,..Squid (Pusit),337,405,593,982,428
,..Blue crab (Alimasag),224,203,170,233,115
,..Skipjack (Gulyasan),419,556,605,810,864
,..Carp (Carpa),258,515,319,342,243
,..Grouper (Lapu-lapu),223,166,380,185,146
,..Mussel (Tahong),192,333,137,94,42
,..Fimbriated sardines (Tunsoy),112,102,60,42,51
,..P. vannamei,523,1064,1122,223,791
,..Tiger prawn (Sugpo),61,49,26,23,38
,..Sardines (Tawilis),42,39,24,32,24
,..Seaweed,1,1,14,13,16
,..Oyster (Talaba),4,5,4,7,7
,..Other Fisheries,4294,4193,4648,4628,4815
,..AGRICULTURE,159432,158063,163484,170028,182803
,,,,,,
"CALABARZON: * Starting 2022, volume of production for fisheries excludes NCR
- No reported production
. Category not applicable
.. Data not available
Data were revised and base year was changed from 2000 to 2018
From 2000 to 2001, fisheries has no disaggregation by species.",,,,,,
"Note: To capture all the decimal points
On the 'Show Table' tab, click the first drop-down option.
Select the 'Change Decimals' and write the decimal you wish to have
and press the continue button.",,,,,,
,,,,,,
Latest update:,,,,,,
20250421 09:00,,,,,,
,,,,,,
Source:,,,,,,
Philippine Statistics Authority,,,,,,
,,,,,,
Contact:,,,,,,
Agricultural Accounts Division,,,,,,
Macroeconomic Accounts Service,,,,,,
Philippine Statistics Authority (PSA),,,,,,
"21st Floor, PSA Headquarters, PSA Complex, East Avenue, Quezon City",,,,,,
Telephone Number: (+632) 83761954,,,,,,
Email: aad.staff@psa.gov.ph,,,,,,
,,,,,,
,,,,,,
Units:,,,,,,
million pesos,,,,,,
,,,,,,
,,,,,,
,,,,,,
Base period:,,,,,,
2018,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Internal reference code:,,,,,,
2B5FVP09,,,,,,
