"Palay and Corn: Volume of Production in Metric Tons by Ecosystem/Croptype, Quarter, Semester, Region, and Province, 1987-2025",,,,,,,,
,,,,,,,,
,,PRODUCTIONS,,,,,,
,Region,2020,2021,2022,2023,2024,2025,Crops
,PHILIPPINES,19294855.51,19960170.19,19756513.4,20059561.96,19087135.43,..,Palay
,..CORDILLERA ADMINISTRATIVE REGION (CAR),376473.48,377133.35,338067.45,331469.66,299400.11,..,Palay
,....Abra,83667.1,90434.39,76921,74414.98,68864.6,..,Palay
,....Apayao,96869.76,82468.92,74379.86,75730.27,69794.06,..,Palay
,....Benguet,21707.29,23667,23410.77,21524.15,18403.9,..,Palay
,....Ifugao,49412.61,41902.46,32934.09,34201.71,28337.25,..,Palay
,....Kalinga,108884.81,122959.34,114804.76,112839.99,101309.84,..,Palay
,....Mountain Province,15931.91,15701.24,15616.98,12758.56,12690.47,..,Palay
,..REGION I (ILOCOS REGION),1902661.85,1902342.6,1965372.36,1990286.68,1967134.45,..,Palay
,....Ilocos Norte,341994.85,337191.6,330749,338681.32,341888.5,..,Palay
,....Ilocos Sur,249171,244634,244413.83,246075.76,239286,..,Palay
,....La Union,176117,157881,171276.53,173891.55,172289.95,..,Palay
,....Pangasinan,1135379,1162636,1218933,1231638.05,1213670,..,Palay
,..REGION II (CAGAYAN VALLEY),2645776.78,2909950.48,2928165.7,3026087.62,2922716.55,..,Palay
,....Batanes,84,20.31,61.42,80.27,51.5,..,Palay
,....Cagayan,921763,1051621,1068498.28,1127141.5,1063403,..,Palay
,....Isabela,1359555.64,1425907.17,1457750.2,1479190.06,1468910,..,Palay
,....Nueva Vizcaya,253855.78,308177.4,284877.13,298646.77,287209.89,..,Palay
,....Quirino,110518.36,124224.6,116978.67,121029.02,103142.16,..,Palay
,..REGION III (CENTRAL LUZON),3635147.59,3741210.53,3616712.4,3638431.28,3482484.4,..,Palay
,....Aurora,90429,115368,106210,100302.12,83625.16,..,Palay
,....Bataan,125143,117143.05,115402.46,109195.3,107111.35,..,Palay
,....Bulacan,361253.82,387699.04,402415.52,374652.32,330658,..,Palay
,....Nueva Ecija,1904827.36,1884323.97,1781964.01,1839858.69,1772448.7,..,Palay
,....Pampanga,421937.8,476974.6,474339.44,463526.28,421586.75,..,Palay
,....Tarlac,573336.95,605130.81,599576.56,608668.8,619899,..,Palay
,....Zambales,158219.66,154571.06,136804.41,142227.77,147155.44,..,Palay
,..REGION IV-A (CALABARZON),386919.93,409915.07,395898.69,433399.42,311059.06,..,Palay
,....Batangas,33001.5,35354.04,34871.94,38026.81,22028.89,..,Palay
,....Cavite,24626.6,27828.66,23213.78,20971.6,15462.04,..,Palay
,....Laguna,129326.65,120224.02,128431.37,146255.35,114703.63,..,Palay
,....Quezon,186178.6,203083,185878.5,204629,140941.69,..,Palay
,....Rizal,13786.59,23425.36,23503.1,23516.66,17922.81,..,Palay
,..MIMAROPA REGION,1183149.32,1225283.21,1231933.69,1210384.05,1157865.71,..,Palay
,....Marinduque,18273,18494,18918.85,17819,16526,..,Palay
,....Occidental Mindoro,310004,366951.7,362419.23,327746.49,304285.25,..,Palay
,....Oriental Mindoro,430967.32,394864.51,378504.66,365448.67,348832.16,..,Palay
,....Palawan,387172,408272,433395.46,461925.4,453839.11,..,Palay
,....Romblon,36733,36701,38695.49,37444.49,34383.19,..,Palay
,..REGION V (BICOL REGION),1294991.12,1346952.44,1329004.4,1302648.98,1202079.35,..,Palay
,....Albay,216006.95,224533,226230.8,232649.25,204046.2,..,Palay
,....Camarines Norte,108512.07,116292.63,109792.43,108390.12,85901.66,..,Palay
,....Camarines Sur,650406,683203,665430,643401,628082,..,Palay
,....Catanduanes,27019.09,23376.41,24809.46,17793.27,20904.52,..,Palay
,....Masbate,148010.01,148754,151253,155154,136873.72,..,Palay
