Region,Crop,Year,Production
PHILIPPINES,Palay,2020,19294855.51
CORDILLERA ADMINISTRATIVE REGION (CAR),Palay,2020,376473.48
Abra,Palay,2020,83667.1
Apayao,Palay,2020,96869.76
Benguet,Palay,2020,21707.29
PHILIPPINES,Palay,2021,19960170.19
CORDILLERA ADMINISTRATIVE REGION (CAR),Palay,2021,377133.35
Abra,Palay,2021,90434.39
Apayao,Palay,2021,82468.92
Benguet,Palay,2021,23667.0
PHILIPPINES,Palay,2022,19756513.4
CORDILLERA ADMINISTRATIVE REGION (CAR),Palay,2022,338067.45
Abra,Palay,2022,76921.0
Apayao,Palay,2022,74379.86
Benguet,Palay,2022,23410.77
PHILIPPINES,Palay,2023,20059561.96
CORDILLERA ADMINISTRATIVE REGION (CAR),Palay,2023,331469.66
Abra,Palay,2023,74414.98
Apayao,Palay,2023,75730.27
Benguet,Palay,2023,21524.15
PHILIPPINES,Palay,2024,19087135.43
CORDILLERA ADMINISTRATIVE REGION (CAR),Palay,2024,299400.11
Abra,Palay,2024,68864.6
Apayao,Palay,2024,69794.06
Benguet,Palay,2024,18403.9
PHILIPPINES,Palay,2025,
CORDILLERA ADMINISTRATIVE REGION (CAR),Palay,2025,
Abra,Palay,2025,
Apayao,Palay,2025,
Benguet,Palay,2025,
